reference,student,label
Bulbs A and C are still contained in closed paths with the battery,they were still contained in closed circuits with the battery,incorrect
Bulbs A and C are still contained in closed paths with the battery,they were on another closed path,correct
Bulbs A and C are still contained in closed paths with the battery,because each bulb has its own path,correct
Bulbs A and C are still contained in closed paths with the battery,bulbs a and c are still contained in a complete path with the battery.,incorrect
Bulbs A and C are still contained in closed paths with the battery,because they were still in a closed circuit with the battery,incorrect
Bulbs A and C are still contained in closed paths with the battery,They are on separate paths.,correct
Bulbs A and C are still contained in closed paths with the battery,Bulb A and bulb C are on closed paths containing the battery.,correct
Bulbs A and C are still contained in closed paths with the battery,Becuase they had their own pathways to work on.,correct
Bulbs A and C are still contained in closed paths with the battery,because they both still had closed paths,correct
Bulbs A and C are still contained in closed paths with the battery,They all have their own paths connected to the battery,correct
Bulbs A and C are still contained in closed paths with the battery,Because they are not on the same closed path.,correct
Bulbs A and C are still contained in closed paths with the battery,because they are not in the same pathway as bulb b.,correct
Bulbs A and C are still contained in closed paths with the battery,Because bulbs A and C are still contained in a closed path to the battery.,correct
Bulbs A and C are still contained in closed paths with the battery,because they are on separate paths than B is,correct
A and C are in different paths with the battery,bulb a and c are contained in different paths with the battery,correct
A and C are in different paths with the battery,Bulb A and Bulb C are contained in different paths with the battery.,correct
A and C are in different paths with the battery,contained in different paths with the battery,correct
A and C are in different paths with the battery,bulbs a and c are contained in different paths with the battery.,correct
A and C are in different paths with the battery,bulbs a and c are contained in different paths with the battery,correct
A and C are in different paths with the battery,bulbs a and c are containe din diffrent paths with the battery.,correct
A and C are in different paths with the battery,bulb a and bulb b are containe4d in different paths with the battery.,correct
A and C are in different paths with the battery,bulb a and bulb c are contained in different paths with the bttery.,correct
A and C are in different paths with the battery,Bulb A and bulb C are contained in different paths with the battery,correct
A and C are in different paths with the battery,bulbs b and c are contiained in the the same path with the battery.,incorrect
A and C are in different paths with the battery,bulbs b and c are contained in the same closed path.,incorrect
A and C are in different paths with the battery,i dont know,incorrect
A and C are in different paths with the battery,i dont know.,incorrect
A and C are in different paths with the battery,They are not contained on the same path,correct
A and C are in different paths with the battery,because bulbs A and C are contained in different paths with the battery,correct
A and C are in different paths with the battery,Bulb A and Bulb C are contained in the same path,incorrect
A and C are in different paths with the battery,the same paths that are parralell to one another,incorrect
A and C are in different paths with the battery,they are not in the same closed path,correct
A and C are in different paths with the battery,seperate paths,correct
A and C are in different paths with the battery,different paths with the battery,correct
A and C are in different paths with the battery,Bulb C is contained in a different path then bulb A,correct
A and C are in different paths with the battery,they are on seperate closed paths,correct
A and C are in different paths with the battery,bulb a and c are on a different path with the battery,incorrect
A and C are in different paths with the battery,bulb a and c are contained on the same path with the battery,incorrect
A and C are in different paths with the battery,the battery is contained in a closed path wit bulb a and c,incorrect
A and C are in different paths with the battery,Bulb A and Bulb C are not contained in the same closed path,correct
A and C are in different paths with the battery,bulb a and c are contained in different paths with the same battery,correct
A and C are in different paths with the battery,the bulbs are conained in different paths with the battery,correct
A and C are in different paths with the battery,bulbs A and C are on different paths with the battery,correct
A and C are in different paths with the battery,the bulbs are contained in diffrent closed pathes.,correct
A and C are in different paths with the battery,they are contained in different paths with the battery,correct
A and C are in different paths with the battery,bulb a and bulb c are on different closed paths,correct
A and C are in different paths with the battery,Bulb A and bulb C are contaiend in different paths with the battery,correct
A and C are in different paths with the battery,Bulb A and C are contained in different paths with the battery.,correct
A and C are in different paths with the battery,They are on different paths than the battery,incorrect
A and C are in different paths with the battery,A and C are contained in different paths,correct
A and C are in different paths with the battery,they are contained in different paths,correct
A and C are in different paths with the battery,they are contained on different paths with the battery,correct
A and C are in different paths with the battery,They are on different closed paths,correct
A and C are in different paths with the battery,because they have different paths,correct
A and C are in different paths with the battery,Blub A and bulb C are contained in different paths with the same battery.,correct
A and C are in different paths with the battery,they are on diiferent paths,correct
A and C are in different paths with the battery,they are in different closed paths,correct
A and C are in different paths with the battery,they are in different paths with the battery,correct
A and C are in different paths with the battery,because the outcome of the bulb will not affect each other,incorrect
A and C are in different paths with the battery,yes,incorrect
A and C are in different paths with the battery,DIFFERENT PATHS,incorrect
A and C are in different paths with the battery,They are on separate paths.,correct
A and C are in different paths with the battery,Bulb A and bulb C are contained in difference paths with the battery.,correct
A and C are in different paths with the battery,they are no on same pathway,correct
A and C are in different paths with the battery,bulb a and c are in different circuits,incorrect
A and C are in different paths with the battery,"I accounted for B when it wasn""t pertinant to the question",incorrect
A and C are in different paths with the battery,They are contained in different paths with the battery.,correct
A and C are in different paths with the battery,bulbs A and C are not contained in the same closed path.,correct
A and C are in different paths with the battery,they are connected int he same closed path,incorrect
A and C are in different paths with the battery,they are each contained in different closed paths with the battery,correct
B and C are in the same path with the battery,bulb b and c are contained in the same closed path,correct
B and C are in the same path with the battery,Bulb B  and Bulb C are contained in the same path with the battery.,correct
B and C are in the same path with the battery,contained within the same path with the battery,correct
B and C are in the same path with the battery,bulb b and bulb c are contained within a closed path,correct
B and C are in the same path with the battery,bulbs b and c are contained in the same path with the battery.,correct
B and C are in the same path with the battery,bulbs b and c are contained on the same path with the battery,correct
B and C are in the same path with the battery,bulb b and c are contained in the same path with the battery.,correct
B and C are in the same path with the battery,bulb B and bulb C are contained in the same closed path.,correct
B and C are in the same path with the battery,bulb b and c are contained in the same closed path.,correct
B and C are in the same path with the battery,they are on the same pah,correct
B and C are in the same path with the battery,because bulbs B and C are contained in the same closed path,correct
B and C are in the same path with the battery,bulbs b and c are in the same closed path with the battery,correct
B and C are in the same path with the battery,Bulb B and bulb C are contained in different path with the battery,incorrect
B and C are in the same path with the battery,different paths with the battery,incorrect
B and C are in the same path with the battery,Bulb B and bulb C are contained in different paths with the battery,incorrect
B and C are in the same path with the battery,because they are in the same path with the battery,correct
B and C are in the same path with the battery,Bulb B and Bulb C are contained in the same path with the battery.,correct
B and C are in the same path with the battery,They are contained in the same path with the battery,correct
B and C are in the same path with the battery,they are on the same closed path,correct
B and C are in the same path with the battery,they are contained in the same closed path,correct
B and C are in the same path with the battery,same path with the battery,incorrect
B and C are in the same path with the battery,bulbs b and c are contained in the same path,correct
B and C are in the same path with the battery,Bulb B and C are contained in the same closed paths with the battery,correct
B and C are in the same path with the battery,because bulb b andc are in the same closed path with the battery,correct
B and C are in the same path with the battery,because bulb b and c are in the same closed path with the battery,correct
B and C are in the same path with the battery,bulbs B and C are on the same path as the battery,correct
B and C are in the same path with the battery,bulbs B and C are on the same path with the battery,correct
B and C are in the same path with the battery,bulb b and c are contained in the same closed path with the same battery,correct
B and C are in the same path with the battery,both bulbs are on the same path with the battery,correct
B and C are in the same path with the battery,bulb b and bulb c are contained in the same path with the battery,correct
B and C are in the same path with the battery,Bulbs B and C are contained in the same closed path with the battery,correct
B and C are in the same path with the battery,bulb b and bulb c are contain in the same closed path.,correct
B and C are in the same path with the battery,bulb b and bulb c are contained in the same closed path,correct
B and C are in the same path with the battery,bulb b and bulb c are on the same closed path,correct
B and C are in the same path with the battery,Bulb B and bulb C are contained within the same path with the battery,correct
B and C are in the same path with the battery,They are on the same paths,correct
B and C are in the same path with the battery,Bulb B and Bulb C are contained in the same pathway,correct
B and C are in the same path with the battery,They are contained in the same path to the battery,correct
B and C are in the same path with the battery,because they share the same path,correct
B and C are in the same path with the battery,Bulbs B and C are contained in the same path with the battery,correct
B and C are in the same path with the battery,bulb B and bulb C are contained in the same path as the battery,correct
B and C are in the same path with the battery,same path,incorrect
B and C are in the same path with the battery,same closed path,correct
B and C are in the same path with the battery,They are contained in the same path with the battery and are affected by one anotehr,correct
B and C are in the same path with the battery,they are contained in the same path as the battery,correct
B and C are in the same path with the battery,Bulb B and Bulb C are in the same path with the battery.,correct
B and C are in the same path with the battery,they are on the same ppath,correct
B and C are in the same path with the battery,yes,incorrect
B and C are in the same path with the battery,They are both within the same path.,correct
B and C are in the same path with the battery,They are both on the same closed path as the battery.,correct
B and C are in the same path with the battery,they are wired in the same path with the battery,correct
B and C are in the same path with the battery,same path to the battery,correct
B and C are in the same path with the battery,bulb b and c are in a closed path,incorrect
B and C are in the same path with the battery,both are on same closed paths,correct
B and C are in the same path with the battery,They are on the same pathway as the battery,correct
B and C are in the same path with the battery,they are both in the same closed path and effect each other,correct
B and C are in the same path with the battery,They are contained on the same path with the battery.,correct
B and C are in the same path with the battery,they are contained inthe same paths with the battery,correct
B and C are in the same path with the battery,Bulbs B and C are contained on the same path with the battery.,correct
B and C are in the same path with the battery,they are contained in the same closed path with the battery,correct
A and C are in different paths with the battery,they are contained in different closed paths,correct
A and C are in different paths with the battery,"if  bulb a is damaged, bulb c is not affected.",correct
A and C are in different paths with the battery,they are not within a closed path,incorrect
A and C are in different paths with the battery,bulb a and c are not contained within the same closed path,correct
A and C are in different paths with the battery,"bulbs a, b, and c are not contained in the same closed path.",correct
A and C are in different paths with the battery,bulbs a b and c are on seperate paths,correct
A and C are in different paths with the battery,"bulb a, bulb b, and bulb c are contained in differentclosed paths.",correct
A and C are in different paths with the battery,"Bulb A, bulb B and bulb C are in different closed paths.",correct
A and C are in different paths with the battery,"Bulb A, bulb B and bulb C are contained in differnt paths.",correct
A and C are in different paths with the battery,bulb a will not affect bulbs b and c,incorrect
A and C are in different paths with the battery,"bulbs a, b and c are not contained in the same closed path.",correct
A and C are in different paths with the battery,They are not contained in the same path.,correct
A and C are in different paths with the battery,because bulbs A and C are not contained in the same closed paths,correct
A and C are in different paths with the battery,Bulbs a and c are in separate closed paths with the battery.,correct
A and C are in different paths with the battery,bulb a and bulb c are wired in parallel,incorrect
A and C are in different paths with the battery,they are in the same closed path,incorrect
A and C are in different paths with the battery,they are not in the same closed path,correct
A and C are in different paths with the battery,"Bulb A, B, and C are contained in different closed paths.",correct
A and C are in different paths with the battery,"Bulb A, bulb B, and bulb C are contained in different closed paths.",correct
A and C are in different paths with the battery,BULB A IS NOT IN THE SAME PATH AS BULB B AND BULB C.,correct
A and C are in different paths with the battery,seperate paths,correct
A and C are in different paths with the battery,they are in parrallel,incorrect
A and C are in different paths with the battery,they are in independent paths,correct
A and C are in different paths with the battery,the bulbs are on seperate closed paths,correct
A and C are in different paths with the battery,they are not contained in the same closed path,correct
A and C are in different paths with the battery,different paths,incorrect
A and C are in different paths with the battery,closed path,incorrect
A and C are in different paths with the battery,bulbs a and c are not contained ina closed path,incorrect
A and C are in different paths with the battery,bulbs a and c are contained in separate closed paths,correct
A and C are in different paths with the battery,Bulbs A and C are on different closed paths,correct
A and C are in different paths with the battery,they are on a different closed path,correct
A and C are in different paths with the battery,bulb C and A are contained in the same path with the battery,incorrect
A and C are in different paths with the battery,they are on a different closed path with the battery,incorrect
A and C are in different paths with the battery,"Bulb A, bulb b, and bulb c are not contained in the same closed path.",correct
A and C are in different paths with the battery,they are containe din different closed paths with a battery,correct
A and C are in different paths with the battery,there is no relationship between path bulb a and c,incorrect
A and C are in different paths with the battery,a bulb is contained in a closed path with a battery,incorrect
A and C are in different paths with the battery,"bulbs a ,b, and c are on parallel paths",incorrect
A and C are in different paths with the battery,all the bulbs are on parralel paths,incorrect
A and C are in different paths with the battery,"Bulbs A, B and C are on different paths",correct
A and C are in different paths with the battery,removing or damaging one bulb will not affect the other.,incorrect
A and C are in different paths with the battery,"a, b, and c are contained on seperate closed paths",correct
A and C are in different paths with the battery,removing a bulb will not affect another bulb,incorrect
A and C are in different paths with the battery,turning off one bulb will not turn off another bulb,incorrect
A and C are in different paths with the battery,turning off a bulb will not turn off another bulb because they will still be in a closed path with the battery,correct
A and C are in different paths with the battery,bulbs are in different closed paths,correct
A and C are in different paths with the battery,They are not contained in the same closed path as the battery,correct
A and C are in different paths with the battery,Bulbs a and c are wired parallel because they are not contained in the same path.,correct
A and C are in different paths with the battery,Bulb is contained in a path that does not contain bulb c,incorrect
A and C are in different paths with the battery,They are contained in separate closed path.,correct
A and C are in different paths with the battery,They are on different paths,correct
A and C are in different paths with the battery,"A, B, and C are contained in the same closed path",incorrect
A and C are in different paths with the battery,they are wired on different closed paths,correct
A and C are in different paths with the battery,bulb a is contained on a path separated from the closed paths of bulbs b and c.,correct
A and C are in different paths with the battery,"A, B, and C are not one one closed path",correct
A and C are in different paths with the battery,Bulbs are on different closed paths,correct
A and C are in different paths with the battery,They are contained on different closed paths to the battery,correct
A and C are in different paths with the battery,because they have different paths,correct
A and C are in different paths with the battery,bulb a and bulb c are not in the same closed path,correct
A and C are in different paths with the battery,"Bulb A, bulb B and bulb C are not contained in the same closed path.",correct
A and C are in different paths with the battery,they are in different closed paths,correct
A and C are in different paths with the battery,"Bulb A, bulb B and bulb C are contained in separate paths",correct
A and C are in different paths with the battery,"Bulb A and Bulb C aren""t in the same path. They don""t affect each other.",correct
A and C are in different paths with the battery,they are connected on seperate paths,correct
A and C are in different paths with the battery,not in path,incorrect
A and C are in different paths with the battery,ARE ALL ON SEPARATE PATHS,correct
A and C are in different paths with the battery,Bulbs A and C are in separate paths.,correct
A and C are in different paths with the battery,They are on different closed paths.,correct
A and C are in different paths with the battery,they are not wired in the same closed path,correct
A and C are in different paths with the battery,"Bulbs A and C aren""t in the same closed path",correct
A and C are in different paths with the battery,they do no affect each other,incorrect
A and C are in different paths with the battery,bulbs and c are not contained in the same closed path.,correct
A and C are in different paths with the battery,they have different closed paths,correct
A and C are in different paths with the battery,"Bulb A, bulb B, and bulb C each have their own closed path with the battery.",correct
A and C are in different paths with the battery,they are in different closed paths and do no effect each other,correct
A and C are in different paths with the battery,They are all on their own pahs,correct
A and C are in different paths with the battery,Each bulb is contained in their own path.,correct
A and C are in different paths with the battery,bulbs A and C are not on the same closed path.,correct
A and C are in different paths with the battery,They are not contained inthe same closed path,correct
A and C are in different paths with the battery,"Bulbs A, B, and C are contained in different closed paths.",correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",bulb b and c will not be in a closed path with the battery,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery","there is no closed path that contains the battery, bulb b, and bulb c",correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",creates a gap,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",they are all in the same path,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",bulbs b and c will no longer be in closed paths with the battery.,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",damaged bulb a creates a gap,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",bulb a creates a gap in teh circuit.,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",the bulb creates a gap in the closed path,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",bulb a creates a gap in teh path.,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",There will be a gap in the path,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",seperates the voltage,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",Bulbs B and C will be on open paths with the battery,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",bulb a is in the same path of bulbs b and c,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",Because there is a gap.,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",They are all on the same path.,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",i dont know then,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",njo,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",nooyutgyhjiko,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",Bulbs b and c will not be in a closed path with the battery.,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",bulb b and bulb c are still contained in a closed path with the battery,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",l,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",The path is not closed.,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",a is in the same path,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",bulb a still has a path to the battery,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",connection,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",bulb a is contained in their closed paths,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",bulb a is contained in the same closed path as both bulbs b and c,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",bulb a is in the closed path,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",closed path,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",bulb a creates a gap,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",bulbs b and are not in a closed path with bulb a,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",Bulb A is on the same path as B and C,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",Bulb A and B and C are on the same paths,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",bulb b and c are not on a closed path,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",both bulbs B and C are in the same path as bulb A,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",tell answer,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",Bulb A will create a gap in the path,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",Bulb a created a gap,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",there is no closed path,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",bulb b will not be in a closed path with the battery. bulb c will not be in a closed path with the battery.,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",if bulb A is damaged the closed path has a gap. bulb b and bulb c are no longer on a closed path.,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",if bulb a is damaged bulb b and bulb c are no longer in a closed path with the battery.,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",There will be a gap a bulb A,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",damaging bulb a creates a gap.,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",there is not a closed path that contains the batteyr and bulb b and bulb c,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",bulb b and bulb c are still contained in closed paths with the battery,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",bulb b and bulb c are in a closed path with the battery,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",bulb b is in a closed path with the battery,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",bulb B and C will no be in a closed path with the battery,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",Bulb A is contained in closed paths with the battery,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",bulbs b and c are still contained in closed paths with the battery,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",bulbs b and c have separate paths within the closed circuit,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",both bulbs B and C each have their own separate path to the battery within the closed circuit,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",damaged bulb a creates a gap in the path,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",They are in separate paths.,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",There is a gap in the path,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",they are conected to each other,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",neither bulb b or bulb c will be contained on a closed path,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",They are no longer on a closed cirucit,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery","Without A, there""s no closed path",correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",B and C will no longer be contained in a closed path to the battery.,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",because they are in series with a,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",Bulb A creates a gap in the path.,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",there would be a gap in the closed circuit,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",Damaged bulb A will create a gap.,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",still connected to the battery,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",they are in the same path,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",Damaged bulb A creates a gap in the circuit,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",there will be a gap,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",because the damaged bulb a creates a gap in the path,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery","Bulb B, and C are still ina contained path.",incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",seperate circuits,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",contained in closed path,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",A GAP WIL BE CREATED,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",Bulb A is not in the same path as bulbs B and C.,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",Bulb A will no longer be completing the circuts.,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",bulb A creates a gap in the closed circuit,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",there is a gap caused by bulb A,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",because it would cause a gap,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",the damaged bulb a creates a gap in the path.,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",because it damages the complete circuit,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",it is on a closed path,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",There is a gap in the closed path.,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",it creats a gap so there are no closed paths,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",Seperate paths connected to the battery,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",Damaging Bulb A would disrupt the closed path with the battery.,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",if bulb A burns out then bulbs B and C will no longer be in a closed path.,correct
"If bulb A burns out, B and C are no longer in a closed path with the battery",B nor C will have a contained closed paths to the battery,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",Bulbs B and C are still contained in a closed path to the battery.,incorrect
"If bulb A burns out, B and C are no longer in a closed path with the battery",that creates a gap,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",because they will still be contained within a closed path with the battery,correct
"If C burns out, then A and B are still in a closed path with the battery.","there is a closed path that contains the battery, bulb a, and bulb b",correct
"If C burns out, then A and B are still in a closed path with the battery.",A is in the same path as C,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",bulb a will burn out with bulb C,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",bulbs a and b will still be contained in closed paths with the battery.,correct
"If C burns out, then A and B are still in a closed path with the battery.",bulbs a and b are on a closed path with the battery,correct
"If C burns out, then A and B are still in a closed path with the battery.",bulb c creates a gap in the closed path.,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",bulb a and b will be on.,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",they are still on closed paths with the battery,correct
"If C burns out, then A and B are still in a closed path with the battery.",bulb c is not in the same path of bulbs a and b,correct
"If C burns out, then A and B are still in a closed path with the battery.",Because Bulb C is not on a closed path.,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",because they will still work,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",bulbs a and b will still be in a closed path with the battery.,correct
"If C burns out, then A and B are still in a closed path with the battery.",they are in different paths,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",bulb b and bulb c are in a closed path and bulb a is in a separate closed path,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",bulb a is in a closed path,incorrect
"If C burns out, then A and B are still in a closed path with the battery.","Bulb A, Bulb C, and the battery are in a closed path.",incorrect
"If C burns out, then A and B are still in a closed path with the battery.",Bulb A and Bulb B and the battery are in a closed path.,correct
"If C burns out, then A and B are still in a closed path with the battery.",they are in independent paths,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",i dont know,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",i like you?,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",i love you?,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",bulbs a and b are contained in their own closed path,correct
"If C burns out, then A and B are still in a closed path with the battery.",bulb c creates a gap,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",bulbs a and b are not in a closed path with bublb c,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",A and B are on closed paths containing the battery,correct
"If C burns out, then A and B are still in a closed path with the battery.",bulb a and b are on a closed path with the battery,correct
"If C burns out, then A and B are still in a closed path with the battery.",bulb C is not contained in the same closed path with the battery,correct
"If C burns out, then A and B are still in a closed path with the battery.",Bulb A and B will still be contained in a closed path with the battery,correct
"If C burns out, then A and B are still in a closed path with the battery.",bulb a and b are still contained in closed paths with the battery,correct
"If C burns out, then A and B are still in a closed path with the battery.",there is a closed path,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",bulb a will still be in a closed path with the battery. bulb b will still be in a closed path with the battery.,correct
"If C burns out, then A and B are still in a closed path with the battery.",Bulbs A and C are still contained in closed paths with the battery,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",Bulbs A and B are contained in closed paths with the battery,correct
"If C burns out, then A and B are still in a closed path with the battery.",a and b are still contained in a closed path with the battery.,correct
"If C burns out, then A and B are still in a closed path with the battery.",there is a closed path that contains the battery and bulb a and bulb b,correct
"If C burns out, then A and B are still in a closed path with the battery.",bulb a and bulb b are still contained in a closed path with the battery,correct
"If C burns out, then A and B are still in a closed path with the battery.",bulb A and B will stil be in a closed path with the battery,correct
"If C burns out, then A and B are still in a closed path with the battery.",Bulb A and bulb b are still contained in closed paths with the battery,correct
"If C burns out, then A and B are still in a closed path with the battery.",Bulbs a and b will still be contained in a closed path with the battery,correct
"If C burns out, then A and B are still in a closed path with the battery.",It is on a separate path.,correct
"If C burns out, then A and B are still in a closed path with the battery.",There is still an closed circuit.,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",it runs on a different current,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",they are on their own closed paths with the battery,correct
"If C burns out, then A and B are still in a closed path with the battery.","again, bulbs a and b will be contained on a closed path",correct
"If C burns out, then A and B are still in a closed path with the battery.",They are still on a closed cicuit,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",They can follow a seperate closed path,correct
"If C burns out, then A and B are still in a closed path with the battery.",Bulbs B and C are still contained in closed paths to the battery,correct
"If C burns out, then A and B are still in a closed path with the battery.",because a and b are in series and a and c are in parallel,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",Bulb A and B are still contained within a closed path and connected to a battery,correct
"If C burns out, then A and B are still in a closed path with the battery.",bulb a and bulb b would be contained in a closed path with the battery,correct
"If C burns out, then A and B are still in a closed path with the battery.","There will still be a closed path containing bulb A, bulb B and the battery.",correct
"If C burns out, then A and B are still in a closed path with the battery.",still have connection to battery,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",There is still a closed path for bulb A and B,correct
"If C burns out, then A and B are still in a closed path with the battery.",there is still a path for the other 2,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",Bulb A and B will still be in a contained path.,correct
"If C burns out, then A and B are still in a closed path with the battery.",not contained inthe same path,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",SEPARATE PATHS,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",They are all in separate paths.,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",Bulbs A and B will still be a part of a completed circut.,correct
"If C burns out, then A and B are still in a closed path with the battery.",they are still contained in a closed circuit with the battery,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",they are on a closed path,correct
"If C burns out, then A and B are still in a closed path with the battery.",C would not create a gap for A or B,correct
"If C burns out, then A and B are still in a closed path with the battery.",bulbs a and b are both still contained in a closed path with the battery.,correct
"If C burns out, then A and B are still in a closed path with the battery.",because bulb c burning out would not damage the complete circuit,incorrect
"If C burns out, then A and B are still in a closed path with the battery.",they are on closed paths,correct
